term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
of,0.0163642,0.20920503,0.0441308,0.17280233,-0.4319862,0.3699575,0.053969067,0.25500238,-0.1371682,-0.048567925,-0.104761,0.03751568,-0.008529794,0.12450283,-0.13183208,0.18825544,0.10520609,-0.21946134,-0.0978663,0.26036957,0.013529834,-0.24985345,-0.06691942,0.30886462,0.2878348,-0.081433214,0.016984735,0.07140942,-0.17649439,-0.24111949,-0.022458345,-0.28690726,-0.09730393,-0.02519716,0.017933901,-0.014507567,0.2858295,-0.035122637,0.13194057,0.08159917,-0.026882032,0.03931836,0.29602233,-0.035690866,-0.08330607,-0.01185898,-0.03806877,0.07885502,0.06427118,0.020831846,0.10582846,-0.4068626,-0.23361205,0.14179693,0.007023366,-0.14343876,0.013488546,0.16369869,0.018871343,0.07578521,0.10610746,-0.11466753,-0.36363274,0.12589538,0.06315659,-0.121674925,0.12749645,0.052266356,-0.3310822,-0.06579664,0.12025501,-0.1672569,-0.16405867,-0.18026768,0.09864777,-0.16791794,0.047460545,0.06620163,-0.16644418,-0.15313078,0.016404523,0.24684393,-0.10260948,0.029347992,-0.2433926,-0.016861737,-0.27362606,-0.117850944,0.05078642,0.007372318,-0.20588471,0.14551505,0.18285097,0.030220417,-0.019963078,-0.02761922,0.086073466,0.10351227,-0.059286006,-0.10528521
and,-0.071677096,0.14498858,-0.007666628,0.057122424,-0.3818466,0.25646558,-0.07204239,0.2613772,-0.16462229,-0.09461155,-0.110151656,-0.061856493,0.09537509,0.110893846,-0.25938424,0.03932681,0.16826294,-0.15178059,-0.13405088,0.16724308,0.07531561,-0.1866539,-0.09113531,0.22684039,0.16021866,0.06651335,-0.083818525,0.14159402,-0.17480232,-0.19156069,-0.09784243,-0.14773706,-0.09251761,-0.008683245,0.01663781,0.05801559,0.18598433,-0.081458785,0.011377632,0.05770755,0.0029640053,-0.022964668,0.28646028,-0.018163674,-0.10393052,0.13314554,0.042589914,0.06819739,-0.0035703199,0.16023535,-0.08631201,-0.3667277,-0.20204405,0.071788445,0.06453551,-0.10229019,-0.003375542,0.15403621,-0.13678302,0.10999272,-0.029742204,-0.08849592,-0.3189343,0.10366165,0.021472748,0.036181446,-0.029101154,-0.043852948,-0.29818714,-0.009015502,0.033957236,-0.14909317,-0.12800649,-0.07572294,-0.04727418,-0.19117516,0.0072844718,0.006553669,-0.15361428,-0.30666143,-0.07916968,0.21564306,-0.06268708,0.10685369,-0.24263524,-0.01909738,-0.2003634,-0.18034203,-0.01938537,0.04175012,-0.15952343,0.15724604,0.104492515,-0.056867544,0.033085253,-0.011668593,0.023343172,0.038831264,0.0072986097,-0.072598
we,0.1334387,-0.068820365,0.19432367,0.016230645,-0.2122611,0.3551601,0.11022459,0.35281354,-0.32264733,-0.16394928,-0.048257627,-0.06999788,0.15267947,0.36760843,-0.18856129,-0.27560556,-0.08338613,-0.26159337,-0.24994843,0.11207032,0.18083848,-0.22189972,0.14288865,0.20208694,0.030475928,0.14092162,-0.1805893,0.16860035,-0.20307362,-0.056832857,0.09260411,-0.07867598,-0.1854898,0.11416252,0.15108876,0.052905492,-0.18075682,-0.22295941,-0.11000941,-0.172299,0.18001248,-0.080357514,0.2504156,-0.07925021,0.2341417,0.26133528,0.0990579,-0.01790208,0.15638143,0.0303158,-0.21087664,-0.3206148,-0.113693774,0.13305357,0.12290127,-0.27885938,-0.3051663,-0.020384815,-0.14581142,0.2014382,-0.1493349,-0.14762305,-0.27480027,0.12805739,0.18860194,0.007831236,-0.06343666,-0.12694636,0.017433261,-0.23654814,-0.25238362,-0.25110537,-0.0996658,-0.042458072,0.053257044,-0.057581887,0.080675386,-0.08334464,-0.2753839,-0.18460569,0.05193296,0.22618246,-0.06869619,0.26660442,-0.1698096,0.0035141257,-0.29347605,-0.4669306,-0.1172827,0.12099427,-0.013212522,0.23571534,0.082846664,-0.19691461,0.18874712,-0.04802135,-0.019378932,-0.0929345,0.046640582,-0.11618931
do,0.22950187,-0.002463918,-0.026722305,0.23622423,0.081105694,0.07231611,0.05442784,-0.06829203,-0.35944384,0.098935634,-0.28415966,-0.0033293294,0.21748777,0.37706468,-0.100599654,-0.2139856,-0.050930843,-0.26913172,-0.443683,0.2084299,-0.06332653,-0.22593802,0.029885042,0.20745187,0.20774376,-0.07605424,0.0333408,0.02907008,-0.049666114,-0.14237544,-0.08212732,-0.00040837892,-0.25807208,0.037404995,0.07690087,0.23239094,-0.010314139,-0.19697423,-0.0015829615,0.06736554,0.16833727,-0.2689333,0.17880523,0.08209212,0.03809027,0.2752929,0.0026308468,0.13398737,0.18782127,-0.09995086,-0.08133592,-0.37879148,0.09536622,0.18447873,0.15142474,-0.17731208,-0.2978504,-0.12869069,-0.27070487,0.02031399,-0.13546677,-0.35252216,-0.47034022,-0.17664902,0.037430115,-0.03736211,0.057780143,-0.24180478,0.2255033,-0.014440772,-0.05378956,-0.26471192,-0.3521515,-0.016949326,-0.0043622344,0.010666855,0.13518178,0.13008106,-0.11171899,-0.19116427,0.14283247,-0.10558481,-0.002900243,0.19699265,-0.2223494,0.23476388,-0.2083648,-0.3802272,-0.06583131,0.01062517,-0.07862607,0.10953145,0.24009226,-0.037384447,0.049444202,0.16871624,0.19126147,-0.06666551,-0.18263872,-0.114715055
this,-0.044819355,-0.004264562,-0.00038818008,0.004649576,-0.17762637,0.032123867,-0.020263467,0.17239286,-0.21311383,-0.017050594,-0.16333929,-0.069450065,0.18494141,0.25967857,0.0073184785,0.009003401,-0.021820482,-0.1414582,-0.15494673,0.13068017,0.062678546,0.038656108,-0.041852705,0.111986004,0.27559325,0.017172113,-0.064905494,0.06909822,-0.15460782,-0.029311955,-0.08582255,-0.263681,-0.105092,0.0513708,0.004118709,0.026561089,-0.03754584,-0.23705752,0.12306797,0.15518743,0.02085641,0.039637193,0.30773047,-0.14575937,-0.0055450723,-0.13041942,0.11460241,0.045787804,0.27938393,-0.080956265,-0.029054375,-0.43711966,-0.14025903,0.024412192,0.10330279,-0.21618453,0.10259774,0.046624348,-0.061019365,0.25290138,0.037615325,-0.21237363,-0.4162646,-0.003241563,0.19811085,0.00070892886,0.131229,0.01645892,0.03550486,-0.14666869,0.13570362,-0.14841835,-0.22197108,-0.15447187,0.18633156,-0.21440323,0.14547655,-0.07275453,-0.2862607,-0.1427681,-0.07090995,-0.09295548,-0.0690052,-0.07272433,-0.29560238,0.121043265,-0.27101877,-0.38636127,-0.0707171,0.12908319,-0.05607802,0.18333282,0.0024263915,0.012991076,-0.062291436,0.01447413,0.07973763,0.00021849883,-0.049666565,-0.036003597
what,0.011353318,-0.0051248334,-0.074775144,0.14568935,0.0029205626,-0.025955886,0.10142145,-0.10299307,-0.08859077,0.16924162,-0.16002144,-0.042065006,0.12641382,0.25815764,-0.16283102,-0.11302279,0.14787725,-0.18301846,-0.19274706,0.024144365,0.23491484,0.06573416,-0.09532126,0.19805339,0.3086265,-0.14014626,-0.093059935,-0.11615675,-0.2583806,0.2179501,-0.031160505,-0.25819746,-0.031436887,0.04219022,0.03853833,0.27218652,-0.042315874,-0.31043613,0.18838339,0.025908584,0.14145897,-0.051773243,0.305226,0.07368547,0.012861426,0.04150973,-0.062315915,0.13552976,0.38422728,-0.2690119,-0.006320692,-0.3544143,0.11967199,0.049383402,0.13748935,-0.07962293,-0.05310672,0.018852621,0.17437795,0.23299308,-0.057632815,-0.36248794,-0.27185282,-0.24459562,0.23339368,0.08555128,0.05784135,-0.113332905,0.20356523,-0.02629954,-0.15237908,-0.2024538,-0.36806658,-0.10205243,0.0726368,-0.027325252,0.10202157,0.078749985,-0.29521206,-0.094360076,-0.09887649,-0.17432517,-0.12283088,0.0009146241,-0.2490962,0.14071463,-0.33835727,-0.47454852,-0.24957263,0.054689366,0.055130456,-0.06717418,-0.024302045,-0.15185174,0.066549584,0.03506078,0.16189404,-0.050959505,-0.07921688,-0.039992824
in,-0.0026074778,0.15882514,0.030120516,0.07676539,-0.3620957,0.317385,-0.038660143,0.26550132,-0.11452019,0.03378492,-0.034513127,-0.024518859,0.022662451,0.09326443,-0.15003192,-0.0023537627,0.17219844,-0.19612387,-0.0712488,0.22396176,0.11258124,-0.15095715,-0.07393552,0.25490937,0.20982352,0.020431269,-0.004844809,0.08269676,-0.17941451,-0.20253278,-0.0481766,-0.23536065,-0.13382083,-0.010465606,-0.024015836,0.100727834,0.22742645,-0.07898954,0.10263799,0.038594358,-0.037999857,0.0060135927,0.24570665,-0.013701316,-0.12541685,0.07829862,0.0045243436,0.048184868,0.118666224,0.060948107,-0.005422103,-0.3067246,-0.19382748,0.06375394,0.048186123,-0.15337884,0.008496475,0.1174801,0.021168113,0.12467649,0.022183005,-0.10951294,-0.33302742,0.07859677,0.07844887,0.021392135,-0.06449595,0.061031256,-0.24649452,-0.038433317,0.07590796,-0.1346584,-0.1261132,-0.15927257,0.06734494,-0.09186814,0.01672123,0.04952123,-0.14682384,-0.24242891,-0.1127221,0.18162313,-0.13911393,0.071058586,-0.27105877,-0.088051185,-0.23250534,-0.20814739,-0.06350957,0.039534196,-0.17230922,0.1153253,0.17130347,-0.024577953,0.0076498846,-0.04029062,0.068552695,-0.00648875,-0.05853252,-0.13699746
be,-0.06873619,-0.0014155585,0.059254106,-0.12556468,-0.09399438,0.2567409,0.030769825,0.24070123,-0.27330205,-0.005062309,-0.25731438,0.022101229,0.25804713,0.29954466,-0.16942668,0.010496504,0.08286254,-0.22632551,-0.36223117,0.15453926,-0.002125343,-0.1460658,0.04437596,0.1474056,0.2682445,-0.010895947,-0.04195593,0.15284713,-0.11062456,-0.19213176,0.0032226767,-0.028083041,-0.24273853,0.0784274,0.15097374,0.21046507,-0.09803731,-0.2102806,-0.048533306,-0.028915409,0.022241564,-0.041449588,0.1552675,-0.07398158,-0.037156366,0.18628292,0.07773225,-0.08198728,0.21031481,0.2030692,-0.05035411,-0.29621473,-0.04873192,0.006047098,0.11379707,-0.1309479,-0.14370905,-0.045640957,-0.20449792,0.13317487,-0.1487023,-0.20570467,-0.24362944,0.040114958,0.1200298,0.18108931,0.017588764,-0.09270015,-0.10833905,-0.12153784,-0.0886565,-0.15609503,-0.23269992,-0.1557804,-0.0023193986,-0.23884906,0.1106958,-0.025343446,-0.16864988,-0.1815976,-0.12956566,-0.03315994,-0.15189132,0.26378325,-0.10276732,0.06913996,-0.38052815,-0.2314908,-0.024479749,0.17665821,0.016983626,0.14815257,0.090554595,-0.1672714,0.1298317,-0.13786055,0.06778453,-0.13717045,0.0005386928,-0.10913238
me,-0.11759818,0.0023060662,-0.0748298,-0.0057322113,-0.13284613,-0.043208167,-0.21643686,-0.040383115,-0.12926511,0.3073414,-0.28961217,0.007334595,0.24244303,0.13611902,-0.2607574,-0.057331886,0.065967515,-0.18690659,-0.2827256,0.0075061726,0.058831062,-0.05262475,-0.23173034,0.15682015,0.3692869,0.09673019,-0.25410816,0.032453757,-0.033167515,0.042444948,-0.16468315,-0.042975336,-0.22494939,0.040650345,-0.12512735,0.1702652,0.113278806,-0.12132881,0.043079227,0.0091259545,-0.060340647,-0.25528452,0.034149725,0.11540002,-0.026638882,0.21270004,0.049006656,-0.02344842,0.12841226,-0.12269659,-0.0111154625,-0.28850845,-0.14693725,0.007364173,-0.038426653,0.05682229,-0.25861156,-0.17416047,-0.15478694,0.1267744,-0.15886042,-0.22054982,-0.2979438,-0.11456383,0.115905285,0.16412969,-0.1346457,-0.18447962,-0.14783177,0.0038986139,-0.12968667,-0.14434847,-0.30999166,0.11357817,-0.17433788,-0.23442468,0.066474125,0.035099365,-0.06783033,-0.3600226,-0.1370126,-0.26916158,-0.09513651,0.28071848,-0.17319234,0.23961139,-0.07398489,-0.23754857,-0.2957811,0.07820289,-0.1383104,0.04654547,0.2666612,-0.23069179,-0.041724827,0.052880693,0.07894355,0.1342649,-0.106185906,-0.26473057
for,0.05535833,0.08723721,0.08640822,-0.026746104,-0.21295148,0.14193349,-0.061067782,0.12895025,-0.15434417,0.09944128,-0.14976348,0.022905765,0.062003803,0.111026175,-0.25896883,-0.09400113,0.14936309,-0.20458592,-0.22108239,0.12953524,0.1274535,-0.019471526,-0.094660886,0.18534361,0.2363556,-0.03942052,-0.122078985,0.119266994,-0.2095176,-0.19640414,-0.11207609,-0.09460779,-0.003926614,0.03697425,-0.10285342,0.17118742,0.09896449,-0.12054196,0.08899202,0.066464946,-0.09551584,-0.028278971,0.203523,0.004617223,-0.048978906,0.03384489,0.0765501,0.11036288,0.08806834,0.0009246111,-0.0039177365,-0.32658735,-0.11626156,0.018619554,0.12758881,-0.08138932,-0.05674835,-0.0549663,-0.052285932,0.12068796,-0.036791384,-0.04252715,-0.3633245,0.060511667,0.03526926,0.13268057,-0.08997139,0.07751709,-0.12751164,-0.034346424,0.07273509,-0.09499507,-0.09588351,-0.09876716,0.06787524,-0.14413312,0.106474064,0.06099575,-0.16087915,-0.22903924,-0.068527594,-0.012203924,-0.1475351,0.08999457,-0.30470482,-0.0011175812,-0.14878754,-0.2953483,-0.09012799,0.080974594,-0.22720918,0.08013966,0.097366296,-0.13640141,0.016976152,-0.08109055,0.05525121,0.07193265,-0.017799499,-0.17451034
