topic_id,top_terms,doc_weight_sum,term_freq
T00,humans school job transformation luck,390.3951009983489,0.0380168776376157
T01,girl work father trouble plane,451.7431168817653,0.05766726943937316
T02,thing man things care oh,451.25379966700945,0.056432979154836346
T03,look today mountain power use,427.9665980061143,0.0520209794525466
T04,wind everybody sea morning problem,395.8442950337178,0.039245784590725565
T05,time water war days round,479.24989929754463,0.06521979491699216
T06,matter house boy face ohh,436.8932420807786,0.05161779271218457
T07,forest course lady spell door,414.88518036492485,0.04609403255058617
T08,help years pig head hand,408.5671183104316,0.04238067458616491
T09,right day eyes ones family,429.60747474698627,0.04910789632179434
T10,home people stop person castle,429.45025979268405,0.05079566003727723
T11,world wah night child hey,437.61772907600044,0.05204888499191806
T12,raccoons place hurry boat minute,442.5496701313124,0.05319188880471787
T13,money engine sister thank words,379.45599592643174,0.03611343278303794
T14,huff food country okay room,396.4215710891756,0.039197913096755244
T15,thanks trees mom gold flowers,458.21216453275673,0.05911392404988155
T16,way princess wait idea spirit,477.3682926071106,0.06246466981695332
T17,ah ship mother witch hospital,453.4428998350953,0.05394706163092449
T18,heart raccoon town stone hands,442.46818904761875,0.05260397830108258
T19,ha life ahh baby ponyo,404.6074025740768,0.042718505124632225
