term_str,PC0,PC1,PC2,PC3,PC4
5,-3.206111578036521e-05,-5.4508739901157074e-05,-7.271410470816886e-05,-5.060162010998581e-05,-5.2706972227874745e-05
50,-1.1362143962084752e-05,-1.9934892676460057e-05,-3.456901055548231e-05,0.00010187913539109682,5.050361614922518e-06
500,-1.241705910670413e-05,-2.1511560784531555e-05,-2.9863186360356456e-05,-2.3133379219704975e-05,-2.4030603775640567e-05
5000,-1.229721965839936e-05,-2.076668057927037e-05,-2.4454801150715392e-05,-1.93983563101572e-05,2.2988980342983678e-06
50km,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
55,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
5th,-1.844582948760024e-05,-3.115002086890754e-05,-3.6682201726075445e-05,-2.909753446523766e-05,3.4483470514477897e-06
6,-1.5645183500044417e-05,-2.711480480321815e-05,-3.45191083611038e-05,-2.6234576582259686e-05,-2.8792047831669528e-05
60,-1.2131497248075783e-05,-2.040325907910059e-05,-2.865268402192726e-05,-1.6963208064164232e-05,-2.1866776716631296e-05
65,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
7,-1.3866026995135632e-05,-2.253802623376994e-05,-3.1353557838036204e-05,-1.0791163157892958e-05,9.698090599478194e-07
700,-1.8521622946274583e-05,-3.330500886481976e-05,-6.931067998241246e-05,0.0002957367875777169,1.1399775405008249e-05
700am,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
8,-1.8370742189526426e-05,-3.0367040872471822e-05,-4.178865556970989e-05,-2.0758014210918453e-05,4.2855698209142945e-06
9,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
