film_name,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
castle_in_the_sky,0.34413965087281795,0.3092269326683292,0.1546134663341646,0.2718204488778055,0.2942643391521197,0.2718204488778055,0.17206982543640897,0.34413965087281795,-0.18204488778054864
grave_of_the_fireflies,0.21292775665399238,0.34220532319391633,0.1596958174904943,0.33840304182509506,0.3155893536121673,0.35361216730038025,0.21673003802281368,0.3612167300380228,-0.09125475285171103
howls_moving_castle,0.43847241867043846,0.1966053748231966,0.4611032531824611,0.39462517680339465,0.2248939179632249,0.3521923620933522,0.27157001414427157,0.27722772277227725,-0.272984441301273
kikis_delivery_service,0.19830028328611898,0.37960339943342775,0.17847025495750707,0.24645892351274787,0.42492917847025496,0.28895184135977336,0.24929178470254956,0.32577903682719545,0.0821529745042493
my_neighbor_totoro,0.10047846889952153,0.41148325358851673,0.13875598086124402,0.18181818181818182,0.46411483253588515,0.4688995215311005,0.23444976076555024,0.49282296650717705,0.028708133971291867
nausicaa,0.2975708502024291,0.23481781376518218,0.20040485829959515,0.3785425101214575,0.23279352226720648,0.31983805668016196,0.13765182186234817,0.34615384615384615,-0.17611336032388664
only_yesterday,0.18466898954703834,0.3240418118466899,0.1289198606271777,0.1672473867595819,0.47735191637630664,0.2508710801393728,0.23344947735191637,0.41114982578397213,0.15331010452961671
pom_poko,0.21058965102286403,0.3297232250300842,0.13598074608904934,0.35138387484957884,0.33574007220216606,0.26594464500601683,0.23345367027677497,0.3971119133574007,0.02527075812274368
ponyo,0.20853080568720378,0.3886255924170616,0.15165876777251186,0.22274881516587677,0.4597156398104265,0.2796208530805687,0.27014218009478674,0.36492890995260663,0.08530805687203792
porco_rosso,0.26396917148362237,0.2678227360308285,0.2658959537572254,0.3198458574181118,0.30828516377649323,0.23314065510597304,0.1907514450867052,0.2832369942196532,-0.13680154142581888
princess_kaguya,0.13493975903614458,0.3036144578313253,0.11325301204819277,0.163855421686747,0.4530120481927711,0.22650602409638554,0.18313253012048192,0.39759036144578314,0.26506024096385544
princess_mononoke,0.2987910189982729,0.23661485319516407,0.2158894645941278,0.4525043177892919,0.2158894645941278,0.41968911917098445,0.13644214162348878,0.2659758203799655,-0.2815198618307427
spirited_away,0.15071283095723015,0.2606924643584521,0.23625254582484725,0.219959266802444,0.25865580448065173,0.285132382892057,0.1690427698574338,0.42362525458248473,0.03054989816700611
the_wind_rises,0.14540059347181009,0.35311572700296734,0.11572700296735905,0.24925816023738873,0.4807121661721068,0.26409495548961426,0.2522255192878338,0.42136498516320475,0.2403560830860534
